CUSTOMER NUMBER,DISTRIBUTOR,DEPARTMENT,DATE,PO NUMBER,PRODUCT NUMBER,CUST PROD #,DESCRIPTION,BRAND,PACK SIZE,CS PRICE,EA PRICE,CS,EA,EXTENDED PRICE,ORDER #,STOCK STATUS,EXCEPTIONS / AUTO-SUB,SHORTED
21602990,2195,0,20260522,Downtown,7649528,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,8696528,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,8600421,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,8910127,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,2559979,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,7196012,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,6435380,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,1138748,,,,,,,1,0,,,,
21602990,2195,0,20260522,Downtown,1979665,,,,,,,1,0,,,,
